STANDARD_NAME	HALLMARK_KRAS_SIGNALING_UP
SYSTEMATIC_NAME	M5953
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_KRAS_SIGNALING_UP
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes up-regulated by KRAS activation.
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	ABCB1,ACE,ADAM17,ADAM8,ADAMDEC1,AKAP12,AKT2,ALDH1A2,ALDH1A3,AMMECR1,ANGPTL4,ANKH,ANO1,ANXA10,APOD,ARG1,ATG10,AVL9,BIRC3,BMP2,BPGM,BTBD3,BTC,C3AR1,CA2,CAB39L,CBL,CBR4,CBX8,CCL20,CCND2,CD37,CDADC1,CFB,CFH,CFHR2,CIDEA,CLEC4A,CMKLR1,CPE,CROT,CSF2,CSF2RA,CTSS,CXCL10,CXCR4,DCBLD2,DNMBP,DOCK2,DUSP6,ELTD1,EMP1,ENG,EPB41L3,EPHB2,EREG,ERO1L,ETS1,ETV1,ETV4,ETV5,EVI5,F13A1,F2RL1,FAM190B,FBXO4,FCER1G,FGF9,FLT4,FUCA1,G0S2,GABRA3,GADD45G,GALNT3,GFPT2,GLRX,GNG11,GPNMB,GPR124,GPRC5B,GUCY1A3,GYPC,HBEGF,HDAC9,HIST1H2BB,HKDC1,HOXD11,HSD11B1,ID2,IGF2,IGFBP3,IKZF1,IL10RA,IL1B,IL1RL2,IL2RG,IL33,IL7R,INHBA,IRF8,ITGA2,ITGB2,ITGBL1,JUP,KCNN4,KIF5C,KLF4,LAPTM5,LAT2,LCP1,LIF,LY96,MAFB,MALL,MAP3K1,MAP4K1,MAP7,MMD,MMP10,MMP11,MMP9,MPZL2,MTMR10,MYCN,NAP1L2,NGF,NIN,NR0B2,NR1H4,NRP1,PCP4,PCSK1N,PDCD1LG2,PECAM1,PEG3,PIGR,PLAT,PLAU,PLAUR,PLEK2,PLVAP,PPBP,PPP1R15A,PRDM1,PRKG2,PRRX1,PSMB8,PTBP2,PTCD2,PTGS2,PTPRR,RABGAP1L,RBM4,RBP4,RELN,RETN,RGS16,SATB1,SCG3,SCG5,SCN1B,SDCCAG8,SEMA3B,SERPINA3,SLMO2,SLPI,SNAP25,SNAP91,SOX9,SPARCL1,SPON1,SPP1,SPRY2,ST6GAL1,STRN,TFPI,TLR8,TMEM100,TMEM158,TMEM176A,TMEM176B,TNFAIP3,TNFRSF1B,TNNT2,TOR1AIP2,TPH1,TRAF1,TRIB1,TRIB2,TSPAN1,TSPAN13,TSPAN7,USH1C,USP12,VWA5A,WDR33,WNT7A,YRDC,ZNF277,ZNF639
GENE_SYMBOLS	ABCB1,ACE,ADAM17,ADAM8,ADAMDEC1,AKAP12,AKT2,ALDH1A2,ALDH1A3,AMMECR1,ANGPTL4,ANKH,ANO1,ANXA10,APOD,ARG1,ATG10,AVL9,BIRC3,BMP2,BPGM,BTBD3,BTC,C3AR1,CA2,CAB39L,CBL,CBR4,CBX8,CCL20,CCND2,CD37,CDADC1,CFB,CFH,CFHR2,CIDEA,CLEC4A,CMKLR1,CPE,CROT,CSF2,CSF2RA,CTSS,CXCL10,CXCR4,DCBLD2,DNMBP,DOCK2,DUSP6,ADGRL4,EMP1,ENG,EPB41L3,EPHB2,EREG,ERO1A,ETS1,ETV1,ETV4,ETV5,EVI5,F13A1,F2RL1,CCSER2,FBXO4,FCER1G,FGF9,FLT4,FUCA1,G0S2,GABRA3,GADD45G,GALNT3,GFPT2,GLRX,GNG11,GPNMB,ADGRA2,GPRC5B,GUCY1A1,GYPC,HBEGF,HDAC9,H2BC3,HKDC1,HOXD11,HSD11B1,ID2,IGF2,IGFBP3,IKZF1,IL10RA,IL1B,IL1RL2,IL2RG,IL33,IL7R,INHBA,IRF8,ITGA2,ITGB2,ITGBL1,JUP,KCNN4,KIF5C,KLF4,LAPTM5,LAT2,LCP1,LIF,LY96,MAFB,MALL,MAP3K1,MAP4K1,MAP7,MMD,MMP10,MMP11,MMP9,MPZL2,MTMR10,MYCN,NAP1L2,NGF,NIN,NR0B2,NR1H4,NRP1,PCP4,PCSK1N,PDCD1LG2,PECAM1,PEG3,PIGR,PLAT,PLAU,PLAUR,PLEK2,PLVAP,PPBP,PPP1R15A,PRDM1,PRKG2,PRRX1,PSMB8,PTBP2,PTCD2,PTGS2,PTPRR,RABGAP1L,RBM4,RBP4,RELN,RETN,RGS16,SATB1,SCG3,SCG5,SCN1B,SDCCAG8,SEMA3B,SERPINA3,PRELID3B,SLPI,SNAP25,SNAP91,SOX9,SPARCL1,SPON1,SPP1,SPRY2,ST6GAL1,STRN,TFPI,TLR8,TMEM100,TMEM158,TMEM176A,TMEM176B,TNFAIP3,TNFRSF1B,TNNT2,TOR1AIP2,TPH1,TRAF1,TRIB1,TRIB2,TSPAN1,TSPAN13,TSPAN7,USH1C,USP12,VWA5A,WDR33,WNT7A,YRDC,ZNF277,ZNF639
FOUNDER_NAMES	PRC1_BMI_UP.V1_DN;M2730|PRC2_EED_DN.V1_DN;M2734|PRC2_EZH2_UP.V1_DN;M2737|PRC2_SUZ12_UP.V1_DN;M2740|KRAS.AMP.LUNG_UP.V1_UP;M2860|KRAS.300_UP.V1_UP;M2875|KRAS.50_UP.V1_UP;M2878|KRAS.600_UP.V1_UP;M2882|KRAS.600.LUNG.BREAST_UP.V1_UP;M2886|KRAS.BREAST_UP.V1_UP;M2888|KRAS.KIDNEY_UP.V1_UP;M2892|KRAS.LUNG_UP.V1_UP;M2897|KRAS.LUNG.BREAST_UP.V1_UP;M2900|KRAS.PROSTATE_UP.V1_UP;M2902