STANDARD_NAME	HALLMARK_MYC_TARGETS_V2
SYSTEMATIC_NAME	M5928
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYC_TARGETS_V2
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	A subgroup of genes regulated by MYC - version 2 (v2).
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	AIMP2,BYSL,CBX3,CDK4,DCTPP1,DDX18,DUSP2,EXOSC5,FARSA,GNL3,GRWD1,HK2,HSPD1,HSPE1,IMP4,IPO4,LAS1L,MAP3K6,MCM4,MCM5,MPHOSPH10,MRTO4,MYBBP1A,MYC,NDUFAF4,NIP7,NOC4L,NOLC1,NOP16,NOP2,NOP56,NPM1,PA2G4,PES1,PHB,PLK1,PLK4,PPAN,PPRC1,PRMT3,PUS1,RABEPK,RCL1,RRP12,RRP9,SLC19A1,SLC29A2,SORD,SRM,SUPV3L1,TBRG4,TCOF1,TFB2M,TMEM97,UNG,UTP20,WDR43,WDR74
GENE_SYMBOLS	AIMP2,BYSL,CBX3,CDK4,DCTPP1,DDX18,DUSP2,EXOSC5,FARSA,GNL3,GRWD1,HK2,HSPD1,HSPE1,IMP4,IPO4,LAS1L,MAP3K6,MCM4,MCM5,MPHOSPH10,MRTO4,MYBBP1A,MYC,NDUFAF4,NIP7,NOC4L,NOLC1,NOP16,NOP2,NOP56,NPM1,PA2G4,PES1,PHB1,PLK1,PLK4,PPAN,PPRC1,PRMT3,PUS1,RABEPK,RCL1,RRP12,RRP9,SLC19A1,SLC29A2,SORD,SRM,SUPV3L1,TBRG4,TCOF1,TFB2M,TMEM97,UNG,UTP20,WDR43,WDR74
FOUNDER_NAMES	BILD_MYC_ONCOGENIC_SIGNATURE;M2069|E2F3_UP.V1_DN;M2704|MYC_UP.V1_DN;M2708|MYC_UP.V1_UP;M2711|SRC_UP.V1_DN;M2713|SRC_UP.V1_UP;M2714